"case_id","label","description","detection_rule","expected_severity","expected_reconciler_lat_source","expected_needs_followup","fixture_name","policy_notes","observed_count_in_v080"
"G01","Both ADECE and Melissa coords missing","Neither ADECE (latitude/longitude) nor Melissa (LAT/LNG) coordinates are available. Hard fail because the row contributes no usable geometry to the master table.","is.na(latitude) & is.na(longitude) & (is.na(LAT) | LAT == '') & (is.na(LNG) | LNG == '')","ERROR","none",TRUE,"g01_both_missing","Hard-block in geocode_validate(); cannot reconcile. Never observed in v0.8.0 - included as defensive contract guard.","0"
"G02","Both present, exact agreement (<10m)","Both ADECE and Melissa coordinates present and haversine distance is below 10m. Reconciler accepts melissa as authoritative.","!is.na(latitude) & !is.na(LAT_num) & dist_m < 10","PASS","melissa",FALSE,"g02_exact_agreement","Pass-through; band='exact'. Melissa wins per default authoritative_priority='melissa_first'.","~320"
"G03","Both present, tight agreement (10-100m)","Both coordinates present, distance 10-100m. Typical for GS05 Rooftop vs ADECE street-level entry; well within rooftop expected accuracy (~90m).","!is.na(latitude) & !is.na(LAT_num) & dist_m >= 10 & dist_m < 100","PASS","melissa",FALSE,"g03_tight_agreement","Pass-through; band='tight'. Median of v0.8.0 distribution sits here (overall median 102m).","~1300"
"G04","Both present, loose agreement (100m-1km)","Both coordinates present, distance 100m-1km. Within precision tier of GS06 Interpolated Rooftop (128m median) and acceptable GS01 Zip+4 spread.","!is.na(latitude) & !is.na(LAT_num) & dist_m >= 100 & dist_m < 1000","INFO","melissa",FALSE,"g04_loose_agreement","Reconciler still accepts melissa; band='loose'; logged for diagnostic distribution but no manual review required.","~1230"
"G05","Both present, drift (1-10km)","Both coordinates present, distance 1-10km. Suggests ADECE address coarseness or normalization artifact. Acceptable for GS03 ZIP5 Community Centroid (4001m median), suspicious for GS05/GS06.","!is.na(latitude) & !is.na(LAT_num) & dist_m >= 1000 & dist_m < 10000","WARN","melissa",TRUE,"g05_drift","Band='drift'; melissa wins but needs_followup=TRUE so analyst can verify the ADECE address.","~330"
"G06","Both present, gross outlier (>=10km)","Both coordinates present, distance >= 10km. Bryan Elementary (57km) and Loachapoka (37km) class. Almost certainly an ADECE address-entry error carried across years.","!is.na(latitude) & !is.na(LAT_num) & dist_m >= 10000","WARN","disputed_melissa",TRUE,"g06_gross_outlier","Band='gross'. lat_source flagged 'disputed_melissa' so master_geocode preserves both coords for forensic review. Priority queue entry.","33"
"G07","ADECE missing, Melissa present, acceptable RESULTCODE (rooftop/Zip+4)","ADECE coords missing but Melissa supplied a high-precision geocode (GS05 Rooftop / GS01 Zip+4 Street Level). This is the rescue path - Melissa fills the gap with credible accuracy.","is.na(latitude) & !is.na(LAT_num) & RESULTCODE %in% c('GS01','GS05')","INFO","melissa",FALSE,"g07_adece_missing_rescue","Standard rescue path; band='melissa_rescue'. Covers majority of the 184 ADECE-missing rows.","~165"
"G08","ADECE missing, Melissa present, low-precision RESULTCODE (centroid/interpolated)","ADECE coords missing and Melissa returned a low-precision geocode (GS03 ZIP5 centroid or GS06 Interpolated Rooftop). Master accepts melissa but flags for follow-up so an exact address can be obtained.","is.na(latitude) & !is.na(LAT_num) & RESULTCODE %in% c('GS03','GS06')","WARN","melissa",TRUE,"g08_adece_missing_lowprec","Rescue path but flagged. Covers the residual ADECE-missing rows where Melissa precision is suspect.","~19"
"G09","ADECE present, Melissa missing","Melissa LAT/LNG missing even though geocode_address was sent. Violates the Melissa delivery contract (LAT/LNG always present in v0.8.0). Hard fail.","!is.na(latitude) & (is.na(LAT_num) | LAT == '' | is.na(LNG_num) | LNG == '')","ERROR","adece",FALSE,"g09_melissa_missing","Hard-block; geocode_validate() raises. Never observed in v0.8.0; signals vendor contract violation in a future delivery.","0"
"G10","site_code missing (new rows)","ADECE row lacks site_code - these are the 108 _new rows in the 2025-2026_new school_year cohort. row_id pattern is '{YYYY-YYYY}_new_NNNN' instead of '{YYYY-YYYY}_{site_code}'.","is.na(site_code) | site_code == ''","INFO","melissa",TRUE,"g10_site_code_missing","Allowed by config (is_required=FALSE). Master keeps the row; needs_followup=TRUE so site_code is assigned downstream once ADECE confirms.","108"
